OBJECTID,Lat,Long,Alt_ft,Tree_ID,Zone,Group_,Leaf_Fall,Common_Name,Genus,Species_Name,Family,Origin,Age_Class,CBH,DBH,Tree_Height_ft,Canopy_Radius_ft,Root_Zone_Infringement,Condition_Class,Priority,Intrest_Houses,Trust_Prop,Trust_Prop_Address,Champion_Tree,Memorial_Tree,Blue_Mtn_Native,Pacific_Slope_Native,Staked,Comments
323,46.07136,-118.3265,1013,D13,D,Broadleaf,Deciduous,Double Weeping Cherry,Prunus,Prunus serrulata,Rosaceae,,45,18,5.73,4,2,0,Fair,A,,,,,,,,,
324,46.07145,-118.32656,1013,D14,D,Broadleaf,Deciduous,Double Weeping Cherry,Prunus,Prunus serrulata,Rosaceae,,45,41,13.06,20,12,0,Fair,A,,,,,,,,,
334,46.07129,-118.32622,1007,D24,D,Conifer,Evergreen,Cedar,Cedrus,Cedrus,Pinaceae,,0,26,8.28,15,5,0,Good,A,,,,,,x,x,,
336,46.07127,-118.32624,1009,D26,D,Broadleaf,Deciduous,Elderberry,Sambucus,Sambucus,Caprifoliaceae,,0,12,3.82,15,8,0,Good,A,,,,,,,,,
337,46.07116,-118.32601,1002,D27,D,Broadleaf,Deciduous,Mimosa / Silk Tree,Albizia,Albizia julibrissin,Fabaceae,,12,41,13.06,25,23,0,Good,A,,,,,,,,next,
338,46.07119,-118.32606,993,D28,D,Broadleaf,Deciduous,California White Oak?,Quercus,Quercus lobata,Fagaceae,,15,57,18.15,40,17.5,0,Good,A,,,,,,,,,
339,46.07122,-118.32618,1001,D29,D,Conifer,Evergreen,Western Red Cedar,Thuja,Thuja plicata,Cupressaceae,,12,36,11.46,30,10.5,0,Good,A,,,,,,x,x,,
340,46.0712,-118.32621,999,D30,D,Conifer,Evergreen,White Spruce,Picea,Picea glauca,Pinaceae,,10,16,5.1,20,6,0,Good,A,,,,,,x,x,,
341,46.07118,-118.32626,998,D31,D,Conifer,Evergreen,Pine,Pinus,Pinus,Pinaceae,,12,28,8.92,25,13,0,Good,A,,,,,,x,x,,
342,46.07116,-118.32626,998,D32,D,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,6,6.5,2.07,8,2,0,Good,A,,,,,,,,,
343,46.07115,-118.3262,1005,D33,D,Conifer,Evergreen,Weeping Norway Spruce,Picea,Picea abies 'Pendula',Pinaceae,,18,10,3.18,0,0,0,Good,A,,,,,,x,x,,
