OBJECTID,Lat,Long,Alt_ft,Tree_ID,Zone,Group_,Leaf_Fall,Common_Name,Genus,Species_Name,Family,Origin,Age_Class,CBH,DBH,Tree_Height_ft,Canopy_Radius_ft,Root_Zone_Infringement,Condition_Class,Priority,Intrest_Houses,Trust_Prop,Trust_Prop_Address,Champion_Tree,Memorial_Tree,Blue_Mtn_Native,Pacific_Slope_Native,Staked,Comments
451,46.071,-118.32659,985,D141,D,Conifer,Evergreen,American Arborvitae,Thuja,Thuja occidentalis,Cupressaceae,,12,28,8.92,15,6,0,Good,B,,,,,,,,,
452,46.07101,-118.32652,995,D142,D,Broadleaf,Deciduous,Black Locust,Robinia,Robinia pseudoacacia,Fabaceae,Eastern North America,100,84,26.75,65,24,0,Fair,B,,,,,,,,No,
453,46.07101,-118.32649,996,D143,D,Broadleaf,Deciduous,Black Locust,Robinia,Robinia pseudoacacia,Fabaceae,Eastern North America,100,94,29.94,85,24,0,Fair,B,,,,,,,,,
454,46.07103,-118.32649,996,D144,D,Broadleaf,Deciduous,Black Locust,Robinia,Robinia pseudoacacia,Fabaceae,Eastern North America,100,84,26.75,85,24,0,Fair,B,,,,,,,,,
456,46.07105,-118.32645,997,D146,D,Broadleaf,Deciduous,Sycamore Maple,Acer,Acer pseudoplatanus,Sapindaceae,,7,16,5.1,20,12,0,Good,recommend removal,,,,,,,,,
457,46.07105,-118.32643,1016,D147,D,Broadleaf,Deciduous,Elm (clump),Ulmus,Ulmus,Ulmaceae,northern  hemisphere,20,46,14.65,65,17,0,Good,B,,,,,,,,,
458,46.07105,-118.32646,1020,D148,D,Conifer,Evergreen,American Arborvitae,Thuja,Thuja occidentalis,Cupressaceae,,12,23,7.32,20,6.5,0,Good,B,,,,,,,,,
459,46.07106,-118.32645,1021,D149,D,Conifer,Evergreen,American Arborvitae,Thuja,Thuja occidentalis,Cupressaceae,,12,32,10.19,25,7,0,Good,B,,,,,,,,,
461,46.07108,-118.32751,1033,D151,D,Broadleaf,Deciduous,Elm,Ulmus,Ulmus,Ulmaceae,northern  hemisphere,12,27,8.6,20,16,0,Good,A  ,,,,,,,,,
462,46.071448,-118.32602,1038,D152,D,Broadleaf,Deciduous,Weeping Cherry,Prunus,Prunus serrulata or P. pendula,Rosaceae,,10,15,4.78,10,4,0,Good,A,,,,,,,,,
463,46.071355,-118.326051,1033,D153,D,Broadleaf,Deciduous,European Mountain Ash,Sorbus,Sorbus aucuparia,Rosaceae,,10,13,4.14,15,3,0,Good,A,,,,,,,,,
464,46.070741,-118.326257,1030,D154,D,Broadleaf,Deciduous,Maple,Acer,Acer,Sapindaceae,,7,15,4.78,15,4,0,Good,A,,,,,,,,,
465,46.070832,-118.326712,1020,D155,D,Broadleaf,Deciduous,Sour Gum,Nyssa,Nyssa,Cornaceae,,5-7yr,9,2.87,7,4,0,Good,B,,,,,,,,,
466,46.070837,-118.326759,1017,D156,D,Broadleaf,Deciduous,Persian Ironwood,Parrotia,Parrotia persica,Hamamelidaceae,,5-7yr,7,2.3,10,4,0,Good,B,,,,,,,,,
467,46.070842,-118.326802,1017,D157,D,Broadleaf,Deciduous,Persian Ironwood,Parrotia,Parrotia persica,Hamamelidaceae,,5-7yr,5,1.6,8,2,0,Good,B,,,,,,,,,
468,46.070956,-118.326986,1013,D158,D,Broadleaf,Deciduous,Scarlet Oak,Quercus,Quercus coccinea,Fagaceae,,5-7yr,5,1.6,7,2,0,Good,A,,,,,Shirley Muse,,,,
469,46.071778,-118.326135,1013,D159,D,Broadleaf,Deciduous,Gold Beech,Fagus,Fagus sylvatica 'Dawyck Gold',Fagaceae,,5yr,2,0.64,6,1,0,Good,A,,,,,,,,,
470,46.070713,-118.325898,1017,D160,D,Broadleaf,Deciduous,Royal Paulownia,Paulownia,Paulownia tomentosa,Paulowniaceae,China,3,9,2.87,12,5,0,Good,A pollarded,,,,,,,,,
471,46.070956,-118.326873,997,D161,D,Broadleaf,Deciduous,Devil's Walkingstick,Aralia,Aralia spinosa,Araliaceae,,,20,6.37,20,14,0,Good,B,,,,,,,,,
472,46.070954,-118.326752,998,D162,D,Broadleaf,Deciduous,Devil's Walkingstick,Aralia,Aralia spinosa,Araliaceae,,,13,4.14,15,10,0,Good,B,,,,,,,,,
474,,,,D164,D,Conifer,Evergreen,Western Red Cedar,Thuja,Thuja plicata,Cupressaceae,,4,3,0.96,4,2,0,Good,A,,,,,,,,,
475,46.071086,-118.327526,1011,E1,E,Broadleaf,Deciduous,Hackberry,Celtis,Celtis occidentalis,Cannabaceae,E. USA,100,95,30.25,35,25.5,0.4,Good,A,,,,Yes,,,,Yes,
476,46.071156,-118.327545,1008,E2,E,Broadleaf,Deciduous,Magnolia,Magnolia,Magnolia,Magnoliaceae,,20,17,5.41,25,12,0,Good,A,,,,,,,,,
477,46.0709318,-118.3275374,1018,E3,E,Broadleaf,Deciduous,Vine Maple,Acer,Acer circinatum,Sapindaceae,,20,32,10.19,12,8,0,Poor,A,,,,,,,,,
478,46.071285,-118.327396,1017,E4,E,Broadleaf,Deciduous,Vine Maple,Acer,Acer circinatum,Sapindaceae,,20,12,3.82,15,9,0,Poor,A,,,,,,,,,
479,46.071249,-118.327399,1042,E5,E,Broadleaf,Deciduous,Vine Maple,Acer,Acer circinatum,Sapindaceae,,20,16,5.1,12,7.5,0,Poor,A,,,,,,,,,
481,46.07108,-118.32743,1044,E7,E,Conifer,Deciduous,Weeping European Larch,Larix,Larix decidua 'Pendula',Pinaceae,,10,9,2.87,4,4,0,Good,A,,,,,,,,,
482,46.07111,-118.327369,1006,E8,E,Conifer,Evergreen,Pine,Pinus,Pinus,Pinaceae,,35,57,18.15,40,18,0.75,Poor,A,,,,,,,x,Yes,
484,46.071111,-118.327026,1017,E10,E,Broadleaf,Deciduous,Cooper Beech,Fagus,Fagus sylvatica,Fagaceae,,12,27,8.6,45,10,0.25,Fair,A,,,,,,,,,
485,46.071117,-118.326978,1005,E11,E,Broadleaf,Deciduous,Cooper Beech,Fagus,Fagus sylvatica,Fagaceae,,12,30,9.55,30,12,0.25,Good,A,,,,,,,,,
486,46.07112,-118.326892,1003,E12,E,Broadleaf,Deciduous,Flowering Dogwood,Ostrya,cornus florida,cornaceae,,35,27,8.6,15,7,0.25,Fair,A,,,,,,,,,
487,46.071261,-118.32663,1014,E13,E,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,6,17,5.41,13,5,0,Good,A,,,,,,,,,
488,46.071307,-118.326613,1045,E14,E,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,6,13,4.14,13,4,0,Good,A,,,,,,,,,
489,46.061646,-118.3336476,1046,E15,E,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,6,14,4.46,13,4,0,Good,A,,,,,,,,,
490,46.07146,-118.32673,1028,E16,E,Conifer,Evergreen,Noble Fir,Abies,Abies procera,Pinaceae,,7,17,5.41,10,3,0,Good,A,,,,,,,x,next,
491,46.07155,-118.32681,1006,E17,E,Broadleaf,Deciduous,Fern Leaved Beech,Fagus,Fagus sylvatica 'Asplenifolia',Fagaceae,,15,36,11.46,25,11,0.35,Good,A,,,,,,,,,
492,46.07151,-118.3269,1001,E18,E,Broadleaf,Deciduous,Himalayan Dogwood,Cornus,Cornus capitata,Cornaceae,,8,7,2.3,7,2,0,Good,A,,,,,,,,,
493,46.071529,-118.326973,1001,E19,E,Conifer,Evergreen,Colorado Blue Spruce,Picea,Picea pungens 'Glauca',Pinaceae,Rocky Mountains,8,15,4.78,7,3,0,Good,A,,,,,,x,x,,
494,46.07149,-118.32702,997,E20,E,Broadleaf,Deciduous,Himalayan Dogwood,Cornus,Cornus capitata,Cornaceae,,8,6,1.91,8,2,0,Good,A,,,,,,,,,
495,46.0715,-118.32704,995,E21,E,Broadleaf,Deciduous,Himalayan Dogwood,Cornus,Cornus capitata,Cornaceae,,8,6,1.91,9,3,0,Good,A,,,,,,,,,
496,46.07149,-118.32711,991,E22,E,Conifer,Evergreen,Western Red Cedar,Thuja,Thuja plicata,Cupressaceae,,15,34,7.64,30,8,0,Good,A,,,,,,x,x,,
497,46.071458,-118.327116,980,E23,E,Conifer,Evergreen,Pondorosa Pine,Pinus,Pinus ponderosa,Pinaceae,,15,26,8.28,10,4.5,0,Fair,A,,,,,,,,,
498,46.071515,-118.327112,982,E24,E,Conifer,Evergreen,Pondorosa Pine,Pinus,Pinus ponderosa,Pinaceae,,15,30,9.55,22,5.5,0,Fair,A,,,,,,,,,
499,46.071492,-118.327213,986,E25,E,Conifer,Evergreen,Pondorosa Pine,Pinus,Pinus ponderosa,Pinaceae,,15,34,10.83,20,7,0,Fair,A,,,,,,,,,
500,46.071507,-118.327303,987,E26,E,Conifer,Evergreen,Korean Fir,Abies,Abies koreana,Pinaceae,,15,20,6.37,17,3.5,0,Good,B,,,,,,,,,
501,46.07152,-118.327483,988,E27,E,Conifer,Evergreen,Colorado Blue Spruce,Picea,Picea pungens 'Glauca',Pinaceae,Rocky Mountains,15,33,10.51,18,5,0.3,Good,A,,,,,,,,,
502,46.071381,-118.32744,985,E28,E,Broadleaf,Evergreen,Southern Magnolia,Magnolia,Magnolia grandiflora,Magnoliaceae,,18,32,10.19,25,9,0.35,Good,A,,,,,,,,next,
503,46.071439,-118.327566,1002,E29,E,Conifer,Evergreen,Pine,Pinus,Pinus,Pinaceae,,40,60,19.11,35,11,0.45,Fair,A,,,,,,,,,
504,46.071492,-118.32754,995,E30,E,Broadleaf,Evergreen,Southern Magnolia,Magnolia,Magnolia grandiflora,Magnoliaceae,,18,26,8.28,17,9,0.25,Good,A,,,,,,,,,
505,46.07153,-118.32764,1000,E31,E,Conifer,Evergreen,Korean Fir,Abies,Abies koreana,Pinaceae,,15,20,6.37,17,4.5,0,Good,B,,,,,,,,,
506,46.071489,-118.327682,1001,E32,E,Broadleaf,Deciduous,Paper Birch,Betula,Betula papyrifera,Betulaceae,,45,77,24.52,40,20,0,Good,B,,,,,,x,x,,
507,46.07115,-118.327808,989,E33,E,Broadleaf,Deciduous,Paper Birch,Betula,Betula papyrifera,Betulaceae,,45,72,22.93,40,16,0,Good,B,,,,,,x,x,,
508,46.071479,-118.327905,989,E34,E,Broadleaf,Deciduous,European Hornbeam,Carpinus,Carpinus betulus,Betulaceae,,45,60,19.11,40,19,0.5,Good,B,,,,,,,,,
509,46.071406,-118.327924,991,E35,E,Broadleaf,Deciduous,European Hornbeam,Carpinus,Carpinus betulus,Betulaceae,,45,50,15.92,40,,0.75,Good,B,,,,,,,,,
510,46.0712,-118.327866,877,E36,E,Conifer,Evergreen,Pine,Pinus,Pinus,Pinaceae,,45,60,19.11,45,12,0.3,Fair,A,,,,,,,,,
511,46.071121,-118.327839,1001,E37,E,Conifer,Evergreen,Pine,Pinus,Pinus,Pinaceae,,45,55,17.52,40,12,0,Fair,A,,,,,,,,,
513,46.070971,-118.327707,997,E40,E,Conifer,Evergreen,Colorado Blue Spruce,Picea,Picea pungens 'Glauca',Pinaceae,Rocky Mountains,20,29,9.24,20,9.5,0,Good,A,,,,,,,,,
514,46.071001,-118.327636,993,E41,E,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,45,25,7.96,9,9,0,Fair,A,,,,,,,,,
515,46.07105,-118.32781,990,E42,E,Broadleaf,Deciduous,Sycamore Maple,Acer,Acer pseudoplatanus,Sapindaceae,,45,55/57,35.67,55,26,0,Good,A,,,,,,,,No,
516,46.070911,-118.327919,990,E43,E,Broadleaf,Deciduous,Seedling Cherry,Prunus,Prunus,Rosaceae,,45,85,27.07,55,17,0,Fair,A,,,,,,,,,
518,46.07086,-118.32816,988,E45,E,Broadleaf,Deciduous,Pin Oak,Quercus,Quercus palustris,Fagaceae,,20,36,11.46,35,17,0,Good,A,,,,,,,,,
519,46.07082,-118.32837,988,E46,E,Broadleaf,Deciduous,California Black Oak,Quercus,Quercus kelloggii,Fagaceae,,20,26,8.28,20,15,0,Good,A,,,,,,,,,
520,46.070793,-118.328454,986,E47,E,Broadleaf,Deciduous,Birch,Betula,Betula,Betulaceae,N. hemisphere,20,44,14.01,50,22,0,Good,A,,,,,,,,,
521,46.070768,-118.328498,984,E48,E,Conifer,Evergreen,Colorado Blue Spruce,Picea,Picea pungens 'Glauca',Pinaceae,Rocky Mountains,20,30,9.55,25,7,0,Good,A,,,,,,,,,
522,46.07072,-118.32849,982,E49,E,Conifer,Evergreen,Western White Pine,Pinus,Pinus monticola,Pinaceae,,20,15,4.78,15,4,0.5,Fair,B,,,,,,,,,
523,46.07073,-118.32857,985,E50,E,Conifer,Deciduous,Dawn Redwood,Metasequoia,Metasequoia glyptostroboides,Cupressaceae,China,,79,25.16,45,14,0,Good,A,,,,,,,,,
524,46.07063,-118.32861,986,E51,E,Broadleaf,Deciduous,Japanese Maple,Acer,Acer palmatum,Sapindaceae,,,78,24.84,35,12,0,Good,A,,,,,,,,next,
525,46.07065,-118.32841,986,E52,E,Broadleaf,Deciduous,Japanese Maple,Acer,Acer palmatum,Sapindaceae,,,55,17.52,25,13,0,Fair,A,,,,,,,,,
526,46.07068,-118.32847,987,E53,E,Broadleaf,Deciduous,Redbud,Cercis,Cercis,Fabaceae,,,26,8.28,20,9,0.25,Good,A,,,,,,,,,
527,46.07071,-118.3284,984,E54,E,Broadleaf,Deciduous,Japanese Maple,Acer,Acer palmatum,Sapindaceae,,,24,7.64,20,6.5,0,Good,A,,,,,,,,,
528,46.07065,-118.32825,986,E55,E,Broadleaf,Deciduous,California Black Oak,Quercus,Quercus kelloggii,Fagaceae,,,42,13.38,30,17,0,Good,B,,,,,,,,,
529,46.07067,-118.32821,984,E56,E,Broadleaf,Deciduous,California Black Oak,Quercus,Quercus kelloggii,Fagaceae,,,41,13.06,40,11,0,Good,B,,,,,,,,,
530,46.07063,-118.32823,987,E57,E,Broadleaf,Deciduous,California Black Oak,Quercus,Quercus kelloggii,Fagaceae,,,53,16.88,40,23,0,Good,B,,,,,,,,,
531,46.0707,-118.32811,987,E58,E,Broadleaf,Deciduous,Allegheny Serviceberry,Amelanchier,Amelanchier laevis,Rosaceae,Eastern U.S. & Canada,,20,6.37,15,11,0.15,Good,B,,,,,,,,,
532,46.07073,-118.32804,985,E59,E,Broadleaf,Deciduous,Allegheny Serviceberry,Amelanchier,Amelanchier laevis,Rosaceae,Eastern U.S. & Canada,,18,5.73,15,9.5,0.15,Good,B,,,,,,,,,
533,46.07069,-118.32804,987,E60,E,Broadleaf,Deciduous,Allegheny Serviceberry,Amelanchier,Amelanchier laevis,Rosaceae,Eastern U.S. & Canada,,18,5.73,18,10.5,0.15,Good,B,,,,,,,,,
534,46.07062,-118.32801,990,E61,E,Broadleaf,Deciduous,Allegheny Serviceberry,Amelanchier,Amelanchier laevis,Rosaceae,Eastern U.S. & Canada,,16,5.1,15,11.5,0,Good,B,,,,,,,,,
535,46.07065,-118.32798,992,E62,E,Conifer,Evergreen,Eastern Hemlock,Tsuga,Tsuga canadensis,Pinaceae,,,17,5.41,12,8,0,Fair,B,,,,,,,,,
536,46.07063,-118.32799,991,E63,E,Broadleaf,Deciduous,Allegheny Serviceberry,Amelanchier,Amelanchier laevis,Rosaceae,Eastern U.S. & Canada,,19,6.05,18,11,0,Good,B,,,,,,,,,
537,46.07068,-118.32794,990,E64,E,Broadleaf,Deciduous,Allegheny Serviceberry,Amelanchier,Amelanchier laevis,Rosaceae,Eastern U.S. & Canada,,18,5.73,18,12,0,Good,B,,,,,,,,,
538,46.07066,-118.32793,992,E65,E,Broadleaf,Deciduous,Allegheny Serviceberry,Amelanchier,Amelanchier laevis,Rosaceae,Eastern U.S. & Canada,,14,4.46,18,12.5,0,Good,B,,,,,,,,,
541,46.07083,-118.32772,992,E68,E,Broadleaf,Deciduous,Ginkgo,Ginkgo,Ginkgo biloba,Ginkgoaceae,,55,69,21.97,55,20,0,Good,A,,,,,,,,,
542,46.07083,-118.32784,986,E69,E,Broadleaf,Deciduous,Red Maple,Acer,Acer rubrum,Sapindaceae,,20,39,12.42,25,11,0.25,Fair,B,,,,,,,,,
543,46.07089,-118.32774,991,E70,E,Broadleaf,Deciduous,Common Hawthorne,Crataegus,Crataegus monogyna,Rosaceae,,,58,18.47,45,17,0.25,Good,B,,,,,,,,,
544,46.0709,-118.32767,990,E71,E,Broadleaf,Deciduous,Common Hawthorne,Crataegus,Crataegus monogyna,Rosaceae,,,42,13.38,45,14.5,0.25,Good,B,,,,,,,,,
545,46.07093,-118.32764,987,E72,E,Broadleaf,Deciduous,Water Birch,Betula,Betula occidentalis,Betulaceae,,20,31/31,19.75,45,10,0,Good,B,,,,,,x,x,,
546,46.07091,-118.32761,991,E73,E,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,15,8,2.55,12,7,0,Good,B,,,,,,,,,
547,46.07098,-118.328137,994,E74,E,Broadleaf,Deciduous,Golden Rain Tree,Koelreuteria,Koelreuteria paniculata,Sapindaceae,E. Asia,80,97,30.89,35,25,0,Good,A,,,,Yes,,,,Yes,
548,46.071074,-118.328055,999,E75,E,Broadleaf,Deciduous,Beech,Fagus,Fagus sylvatica,Fagaceae,,20,74,23.57,45,20,0.05,Good,A,,,,,,,,,
550,46.071199,-118.328057,996,E77,E,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,15,12,3.82,15,6,0,Poor,A,,,,,,,,,
551,46.071197,-118.328019,999,E78,E,Broadleaf,Deciduous,Flowering Pear,Pyrus,Pyrus,Rosaceae,,15,36,11.46,35,18,0,Good,A,,,,,,,,,
553,46.071454,-118.328052,995,E80,E,Broadleaf,Deciduous,Serviceberry,Amelanchier,Amelanchier x grandiflora,Rosaceae,,5,4,1.27,8,2,0,Good,A,,,,,,,,,
554,46.071484,-118.32805,996,E81,E,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,15,12,3.82,10,7.5,0,Poor,A,,,,,,,,,
555,46.071457,-118.32801,995,E82,E,Broadleaf,Deciduous,Flowering Pear,Pyrus,Pyrus,Rosaceae,,15,37,11.78,35,7,0,Good,A,,,,,,,,,
556,46.071229,-118.328054,1004,E83,E,Broadleaf,Deciduous,Serviceberry,Amelanchier,Amelanchier x grandiflora,Rosaceae,,5,4,1.27,8,2,0,Good,A,,,,,,,,,
557,46.071177,-118.328159,1004,E84,E,Conifer,Evergreen,Weeping White Spruce,Picea,Picea glauca 'Pendula',Pinaceae,,5,4,1.27,4,1,0,Good,A,,,,,,,,,
558,46.07076,-118.327798,1003,E85,E,Broadleaf,Deciduous,Mimosa / Silk Tree,Albizia,Albizia julibrissin,Fabaceae,,4,0.5,0.16,4,3,0,Good,A,,,,,,,,,
559,46.07192,-118.32887,1003,F1,F,Broadleaf,Deciduous,Elm 'Morton Glossy',Ulmus,Ulmus 'Morton Glossy',Ulmaceae,N. Hemisphere,10,17,5.41,10,1,0,Good,A,,,,,,,,,
560,46.0716,-118.32832,995,F2,F,Broadleaf,Deciduous,Black Mulberry,Morus,Morus nigra,Moraceae,SW Asia,65,103,32.8,60,30,0.5,Good,A,,,,,,,,Yes,
561,46.0716,-118.32844,995,F3,F,Broadleaf,Deciduous,Little Leaf Linden,Tilia,Tilia cordata,Tiliaceae,,5,19,6.05,15,4,0,Good,A,,,,,,,,,
562,46.07167,-118.32855,995,F4,F,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",45,86,27.38,60,15,0,Poor,A,,,,,,,,,
563,46.07156,-118.32863,1001,F5,F,Broadleaf,Deciduous,Crack Willow,Salix,Salix fragilis,Salicaceae,Europe & west Asia,65,169,53.82,60,44,0.6,Good,B,,,,,,,,Yes,
564,46.07164,-118.32877,1000,F6,F,Broadleaf,Deciduous,Silver Maple,Acer,Acer saccharinum,Sapindaceae,,65,110,35.03,75,45,0.6,Fair,A,,,,,,,,,
565,46.07162,-118.32883,1000,F7,F,Broadleaf,Deciduous,Catalpa,Catalpa,Catalpa,Bignoniaceae,,65,101,32.17,60,20,0.8,Good,A,,,,,,,,,
566,46.07163,-118.3289,1001,F8,F,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,15,8,2.55,8,5,0,Good,A,,,,,,,,,
567,46.07178,-118.32885,999,F9,F,Broadleaf,Deciduous,American Sweet Gum,Liquidambar,Liquidambar styraciflua,Altingiaceae,"East N. America, Tropical montane Mexico & Central America",30,51,16.24,70,16.5,0,Fair,B,,,,,,,,,
568,46.0721,-118.32888,997,F10,F,Broadleaf,Deciduous,Pin Oak,Quercus,Quercus palustris,Fagaceae,,30,43,13.69,25,20.5,0,Poor,A,,,,,,,,,
569,46.07228,-118.32888,998,F11,F,Broadleaf,Deciduous,American Sweet Gum,Liquidambar,Liquidambar styraciflua,Altingiaceae,"East N. America, Tropical montane Mexico & Central America",30,68,21.66,65,18,0,Good,A,,,,,,,,No,
571,46.071465,-118.329081,986,F13,F,Broadleaf,Deciduous,Silver Maple,Acer,Acer saccharinum,Sapindaceae,,65,246,78.34,70,39,0.5,Fair,A,,,,,,,,,
572,46.07166,-118.32886,1002,F14,F,Broadleaf,Deciduous,American Sweet Gum,Liquidambar,Liquidambar styraciflua,Altingiaceae,"East N. America, Tropical montane Mexico & Central America",30,60,19.11,50,28,0,Good,B,,,,,,,,,
573,46.07199,-118.32918,1001,F15,F,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,20,15,4.78,17,9.5,0,Fair,A,,,,,,,,,
574,46.07207,-118.32913,1001,F16,F,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,20,19,6.05,17,8.5,0,Fair,A,,,,,,,,,
575,46.07213,-118.32905,1002,F17,F,Broadleaf,Deciduous,Red Maple,Acer,Acer rubrum,Sapindaceae,,18,24,7.64,17,1,0,Good,A,,,,,,,,,
576,46.07219,-118.32895,1001,F18,F,Conifer,Evergreen,Leyland Cypress,Cupressus,Cupressus x leylandii,Cupressaceae,western North America hybrid,20,58,18.47,30,13,0,Good,A,,,,,,,,,
577,46.07212,-118.32898,1001,F19,F,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,20,13,4.14,20,8,0,Good,A,,,,,,,,,
578,46.07204,-118.32898,1003,F20,F,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,20,17,5.41,20,9,0,Good,A,,,,,,,,,
579,46.07196,-118.32898,1001,F21,F,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,20,13,4.14,20,8.5,0,Good,A,,,,,,,,,
580,46.07188,-118.32899,999,F22,F,Conifer,Evergreen,Mountain Hemlock,Tsuga,Tsuga mertensiana,Pinaceae,,20,7,2.3,7,2.5,0,Good,A,,,,,,,,,
581,46.07181,-118.32899,999,F23,F,Conifer,Evergreen,Mountain Hemlock,Tsuga,Tsuga mertensiana,Pinaceae,,20,8,2.55,9,3.5,0,Good,A,,,,,,,,,
582,46.07201,-118.32909,1002,F24,F,Conifer,Evergreen,Mountain Hemlock,Tsuga,Tsuga mertensiana,Pinaceae,,20,8,2.55,7,4,0,Good,A,,,,,,,,,
583,46.07164,-118.32918,1003,F25,F,Broadleaf,Deciduous,Maple,Acer,Acer,Sapindaceae,,20,13,4.14,10,7,0,Good,A,,,,,,,,,
584,46.07171,-118.32896,1003,F26,F,Broadleaf,Deciduous,Maple,Acer,Acer,Sapindaceae,,20,7,2.3,8,3,0,Good,A,,,,,,,,,
589,46.0717,-118.3292,1000,F31,F,Conifer,Evergreen,Podocarpus,Podocarpus,Podocarpus,Podocarpaceae,,20,6,1.91,10,2,0,Fair,A,,,,,,,,,
590,46.07129,-118.32951,869,F32,F,Broadleaf,Deciduous,Katsura,Cercidiphyllum,Cercidiphyllum japonicum,Cercidiphyllaceae,,20,29,9.24,35,14,0,Good,A,,,,,,,,,
592,46.07133,-118.32955,894,F34,F,Broadleaf,Deciduous,Katsura,Cercidiphyllum,Cercidiphyllum japonicum,Cercidiphyllaceae,,20,29,9.24,35,14,0,Good,A,,,,,,,,,
593,46.07132,-118.32962,903,F35,F,Broadleaf,Deciduous,Katsura,Cercidiphyllum,Cercidiphyllum japonicum,Cercidiphyllaceae,,20,32,10.19,35,12,0,Good,A,,,,,,,,,
594,46.0713,-118.32968,905,F36,F,Broadleaf,Deciduous,Katsura,Cercidiphyllum,Cercidiphyllum japonicum,Cercidiphyllaceae,,20,30,9.55,,11,0,Good,A,,,,,,,,,
595,46.07143,-118.3296,912,F37,F,Broadleaf,Deciduous,Maple,Acer,Acer,Sapindaceae,,20,12,3.82,,12,0,Good,B,,,,,,,,,
598,46.0713,-118.32957,934,F40,F,Broadleaf,Deciduous,Snakebark Maple,Acer,Acer capillipes,Sapindaceae,,20,17,5.41,20,14,0,Good,A,,,,,,,,,
600,46.07123,-118.32958,951,F42,F,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,20,18,5.73,22,11,0.35,Good,A,,,,,,,,,
601,46.07117,-118.3296,952,F43,F,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,20,21,6.69,30,10,0,Good,A,,,,,,,,,
602,46.0712,-118.32969,953,F44,F,Broadleaf,Deciduous,Eastern Hop Hornbeam,Ostrya,Ostrya virginiana,Betulaceae,,20,17,5.41,25,8,0,Good,B,,,,,,,,,
603,46.071133,-118.32976,955,F45,F,Broadleaf,Deciduous,Box Elder,Acer,Acer negundo,Sapindaceae,,,74,23.57,45,29,0,Fair,A,,,,,,,,,
604,46.071207,-118.329859,967,F46,F,Broadleaf,Deciduous,Japanese Hornbeam,Carpinus,Carpinus japonica,Betulaceae,,20,28,8.92,35,12,0,Good,B,,,,,,,,,
605,46.071207,-118.329913,967,F47,F,Broadleaf,Deciduous,Japanese Hornbeam,Carpinus,Carpinus japonica,Betulaceae,,20,28,8.92,37,12,0,Good,B,,,,,,,,,
606,46.071252,-118.32998,964,F48,F,Broadleaf,Deciduous,Japanese Hornbeam,Carpinus,Carpinus japonica,Betulaceae,,20,24,7.64,35,11,0,Good,A,,,,,,,,,
607,46.071295,-118.329962,971,F49,F,Broadleaf,Deciduous,Japanese Hornbeam,Carpinus,Carpinus japonica,Betulaceae,,20,23,7.32,33,9,0,Good,A,,,,,,,,,
608,46.071324,-118.329964,973,F50,F,Broadleaf,Deciduous,Japanese Hornbeam,Carpinus,Carpinus japonica,Betulaceae,,20,27,8.6,35,11,0,Good,A,,,,,,,,,
609,46.071258,-118.330056,978,F51,F,Broadleaf,Deciduous,Bigleaf Maple,Acer,Acer macrophylum,Sapindaceae,,,116,36.94,45,37,0,Fair,A,,,,,,,,next,
610,46.071427,-118.329993,989,F52,F,Broadleaf,Deciduous,Sawleaf Zelkova,Zelkova,Zelkova serrata,Ulmaceae,,20,52,16.56,25,15,0,Good,A,,,,,,,,,
611,46.071484,-118.330007,987,F53,F,Broadleaf,Deciduous,Sawleaf Zelkova,Zelkova,Zelkova serrata,Ulmaceae,,20,52,16.56,25,18,0,Good,A,,,,,,,,,
612,46.07142,-118.330082,987,F54,F,Conifer,Evergreen,Colorado Blue Spruce,Picea,Picea pungens 'Glauca',Pinaceae,Rocky Mountains,20,17,5.41,15,6,0,Good,B,,,,,,,,,
613,46.071502,-118.330157,988,F55,F,Broadleaf,Deciduous,Bur Oak,Quercus,Quercus macrocarpa,Fagaceae,,35,80,25.48,50,22,0.5,Fair,A,,,,,,,,,
